PRODUCTNAME,CATEGORY,MONTH,MONTHLYREVENUE,MONTHLYREVENUERANK,PREVIOUSMONTHSREVENUE,FIRSTMONTHREVENUE,TOTALREVENUE
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2020-01-01,1696.50,326,1319.50,565.50,6409.00
A. Datum Advanced Digital Camera M300 Green,Cameras and camcorders,2020-03-01,1319.50,150,1696.50,565.50,7728.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2016-02-01,377.00,354,,377.00,377.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2016-03-01,565.50,119,377.00,377.00,942.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2016-08-01,188.50,294,565.50,377.00,1131.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2016-10-01,188.50,372,188.50,377.00,1319.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2017-01-01,188.50,409,188.50,377.00,1508.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2017-09-01,188.50,381,188.50,377.00,1696.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2018-02-01,188.50,611,188.50,377.00,1885.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2018-06-01,188.50,525,188.50,377.00,2073.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2018-09-01,188.50,582,188.50,377.00,2262.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2018-10-01,1508.00,243,188.50,377.00,3770.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2019-06-01,2450.50,157,1508.00,377.00,6220.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2019-08-01,565.50,510,2450.50,377.00,6786.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2019-09-01,754.00,466,565.50,377.00,7540.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2020-01-01,1319.50,386,754.00,377.00,8859.50
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2020-02-01,188.50,911,1319.50,377.00,9048.00
A. Datum Advanced Digital Camera M300 Grey,Cameras and camcorders,2020-10-01,188.50,188,188.50,377.00,9236.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2016-08-01,377.00,227,,377.00,377.00
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2016-09-01,1131.00,135,377.00,377.00,1508.00
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2017-07-01,188.50,330,1131.00,377.00,1696.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2017-08-01,188.50,356,188.50,377.00,1885.00
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2018-09-01,942.50,282,188.50,377.00,2827.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2018-12-01,1319.50,407,942.50,377.00,4147.00
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2019-05-01,565.50,530,1319.50,377.00,4712.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2019-06-01,1131.00,326,565.50,377.00,5843.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2019-07-01,377.00,586,1131.00,377.00,6220.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2019-12-01,188.50,1038,377.00,377.00,6409.00
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2020-01-01,1131.00,434,188.50,377.00,7540.00
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2020-02-01,188.50,911,1131.00,377.00,7728.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2020-08-01,377.00,202,188.50,377.00,8105.50
A. Datum Advanced Digital Camera M300 Orange,Cameras and camcorders,2020-11-01,565.50,122,377.00,377.00,8671.00
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2016-09-01,188.50,362,,188.50,188.50
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2016-10-01,1131.00,145,188.50,188.50,1319.50
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2016-11-01,188.50,367,1131.00,188.50,1508.00
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2017-02-01,188.50,463,188.50,188.50,1696.50
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2017-10-01,754.00,212,188.50,188.50,2450.50
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2017-12-01,754.00,372,754.00,188.50,3204.50
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2019-02-01,565.50,613,754.00,188.50,3770.00
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2019-05-01,377.00,603,565.50,188.50,4147.00
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2020-01-01,377.00,722,377.00,188.50,4524.00
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2020-07-01,754.00,168,377.00,188.50,5278.00
A. Datum Advanced Digital Camera M300 Pink,Cameras and camcorders,2020-12-01,942.50,183,754.00,188.50,6220.50
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2017-11-01,377.00,312,,377.00,377.00
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2018-01-01,942.50,256,377.00,377.00,1319.50
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2018-06-01,188.50,525,942.50,377.00,1508.00
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2018-08-01,188.50,566,188.50,377.00,1696.50
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2018-11-01,565.50,484,188.50,377.00,2262.00
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2019-07-01,754.00,428,565.50,377.00,3016.00
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2019-09-01,565.50,526,754.00,377.00,3581.50
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2019-12-01,942.50,562,565.50,377.00,4524.00
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2020-02-01,565.50,655,942.50,377.00,5089.50
A. Datum Advanced Digital Camera M300 Silver,Cameras and camcorders,2020-05-01,1508.00,164,565.50,377.00,6597.50
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2016-11-01,1692.00,105,,1692.00,1692.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2016-12-01,188.00,552,1692.00,1692.00,1880.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2017-06-01,188.00,364,188.00,1692.00,2068.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2017-10-01,1504.00,121,188.00,1692.00,3572.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2017-12-01,752.00,373,1504.00,1692.00,4324.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2018-08-01,564.00,391,752.00,1692.00,4888.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2018-12-01,376.00,749,564.00,1692.00,5264.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2019-01-01,376.00,706,376.00,1692.00,5640.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2019-05-01,2068.00,223,376.00,1692.00,7708.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2019-07-01,376.00,587,2068.00,1692.00,8084.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2019-09-01,1316.00,320,376.00,1692.00,9400.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2019-10-01,1128.00,385,1316.00,1692.00,10528.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2020-01-01,564.00,623,1128.00,1692.00,11092.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2020-02-01,188.00,914,564.00,1692.00,11280.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2020-05-01,188.00,514,188.00,1692.00,11468.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2020-09-01,1692.00,66,188.00,1692.00,13160.00
A. Datum All in One Digital Camera M200 Azure,Cameras and camcorders,2020-12-01,376.00,294,1692.00,1692.00,13536.00
A. Datum All in One Digital Camera M200 Black,Cameras and camcorders,2019-02-01,940.00,466,,940.00,940.00
A. Datum All in One Digital Camera M200 Black,Cameras and camcorders,2019-05-01,376.00,605,940.00,940.00,1316.00
A. Datum All in One Digital Camera M200 Black,Cameras and camcorders,2019-10-01,1128.00,385,376.00,940.00,2444.00
A. Datum All in One Digital Camera M200 Black,Cameras and camcorders,2019-12-01,1128.00,515,1128.00,940.00,3572.00
A. Datum All in One Digital Camera M200 Black,Cameras and camcorders,2020-01-01,1880.00,295,1128.00,940.00,5452.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2016-02-01,752.00,250,,752.00,752.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2016-07-01,564.00,188,752.00,752.00,1316.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2017-01-01,188.00,410,564.00,752.00,1504.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2017-11-01,564.00,263,188.00,752.00,2068.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2018-06-01,2068.00,132,564.00,752.00,4136.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2018-08-01,1128.00,233,2068.00,752.00,5264.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2018-09-01,188.00,583,1128.00,752.00,5452.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2018-10-01,188.00,631,188.00,752.00,5640.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2019-02-01,752.00,528,188.00,752.00,6392.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2019-03-01,188.00,458,752.00,752.00,6580.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2019-08-01,1880.00,228,188.00,752.00,8460.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2019-10-01,1316.00,332,1880.00,752.00,9776.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2019-12-01,1128.00,515,1316.00,752.00,10904.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2020-01-01,188.00,889,1128.00,752.00,11092.00
A. Datum All in One Digital Camera M200 Green,Cameras and camcorders,2021-02-01,752.00,173,188.00,752.00,11844.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2016-01-01,188.00,361,,188.00,188.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2016-02-01,376.00,355,188.00,188.00,564.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2016-05-01,564.00,186,376.00,188.00,1128.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2016-08-01,188.00,295,564.00,188.00,1316.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2016-11-01,564.00,246,188.00,188.00,1880.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2016-12-01,1880.00,151,564.00,188.00,3760.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2017-08-01,376.00,277,1880.00,188.00,4136.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2018-07-01,564.00,334,376.00,188.00,4700.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2018-12-01,564.00,632,564.00,188.00,5264.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2019-01-01,1128.00,411,564.00,188.00,6392.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2019-02-01,1692.00,300,1128.00,188.00,8084.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2019-06-01,376.00,566,1692.00,188.00,8460.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2019-12-01,188.00,1039,376.00,188.00,8648.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2020-01-01,564.00,623,188.00,188.00,9212.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2020-05-01,188.00,514,564.00,188.00,9400.00
A. Datum All in One Digital Camera M200 Grey,Cameras and camcorders,2020-07-01,188.00,316,188.00,188.00,9588.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2016-07-01,188.00,297,,188.00,188.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2017-02-01,188.00,464,188.00,188.00,376.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2018-06-01,2256.00,116,188.00,188.00,2632.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2019-02-01,564.00,614,2256.00,188.00,3196.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2019-06-01,188.00,724,564.00,188.00,3384.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2019-07-01,376.00,587,188.00,188.00,3760.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2019-09-01,564.00,527,376.00,188.00,4324.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2019-10-01,2068.00,218,564.00,188.00,6392.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2020-01-01,2444.00,248,2068.00,188.00,8836.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2020-06-01,1128.00,180,2444.00,188.00,9964.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2020-08-01,752.00,136,1128.00,188.00,10716.00
A. Datum All in One Digital Camera M200 Orange,Cameras and camcorders,2020-12-01,188.00,378,752.00,188.00,10904.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2016-01-01,188.00,361,,188.00,188.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2016-03-01,376.00,148,188.00,188.00,564.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2016-05-01,188.00,295,376.00,188.00,752.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2016-10-01,1316.00,128,188.00,188.00,2068.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2016-11-01,940.00,167,1316.00,188.00,3008.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2017-02-01,188.00,464,940.00,188.00,3196.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2017-06-01,1316.00,122,188.00,188.00,4512.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2018-03-01,564.00,171,1316.00,188.00,5076.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2018-10-01,564.00,450,564.00,188.00,5640.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2018-12-01,1504.00,371,564.00,188.00,7144.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2019-09-01,752.00,468,1504.00,188.00,7896.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2020-01-01,376.00,723,752.00,188.00,8272.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2020-06-01,752.00,242,376.00,188.00,9024.00
A. Datum All in One Digital Camera M200 Pink,Cameras and camcorders,2020-12-01,188.00,378,752.00,188.00,9212.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2016-10-01,188.00,373,,188.00,188.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2017-01-01,564.00,251,188.00,188.00,752.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2017-03-01,940.00,87,564.00,188.00,1692.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2018-06-01,1692.00,159,940.00,188.00,3384.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2018-10-01,1128.00,304,1692.00,188.00,4512.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2018-12-01,188.00,919,1128.00,188.00,4700.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-01-01,1316.00,374,188.00,188.00,6016.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-05-01,1128.00,359,1316.00,188.00,7144.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-07-01,752.00,431,1128.00,188.00,7896.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-09-01,1692.00,258,752.00,188.00,9588.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-10-01,376.00,655,1692.00,188.00,9964.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-11-01,188.00,755,376.00,188.00,10152.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2019-12-01,564.00,731,188.00,188.00,10716.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2020-01-01,752.00,538,564.00,188.00,11468.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2020-12-01,188.00,378,752.00,188.00,11656.00
A. Datum All in One Digital Camera M200 Silver,Cameras and camcorders,2021-01-01,376.00,258,188.00,188.00,12032.00
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2016-01-01,1495.20,129,,1495.20,1495.20
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2016-07-01,373.80,232,1495.20,1495.20,1869.00
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2017-02-01,1121.40,185,373.80,1495.20,2990.40
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2017-05-01,373.80,281,1121.40,1495.20,3364.20
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2017-09-01,934.50,182,373.80,1495.20,4298.70
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2018-03-01,186.90,250,934.50,1495.20,4485.60
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2018-12-01,373.80,751,186.90,1495.20,4859.40
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2019-11-01,373.80,606,373.80,1495.20,5233.20
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2019-12-01,373.80,855,373.80,1495.20,5607.00
A. Datum Bridge Digital Camera M300 Azure,Cameras and camcorders,2020-10-01,1121.40,62,373.80,1495.20,6728.40
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2016-05-01,186.90,296,,186.90,186.90
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2018-05-01,560.70,387,186.90,186.90,747.60
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2019-06-01,747.60,425,560.70,186.90,1495.20
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2019-07-01,560.70,493,747.60,186.90,2055.90
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2019-08-01,2242.80,190,560.70,186.90,4298.70
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2019-09-01,747.60,470,2242.80,186.90,5046.30
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2020-02-01,934.50,500,747.60,186.90,5980.80
A. Datum Bridge Digital Camera M300 Black,Cameras and camcorders,2020-11-01,373.80,149,934.50,186.90,6354.60
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2017-06-01,747.60,196,,747.60,747.60
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2017-11-01,373.80,313,747.60,747.60,1121.40
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2018-05-01,560.70,387,373.80,747.60,1682.10
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2018-07-01,1682.10,165,560.70,747.60,3364.20
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2018-10-01,1308.30,266,1682.10,747.60,4672.50
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2018-11-01,560.70,486,1308.30,747.60,5233.20
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2019-03-01,1495.20,167,560.70,747.60,6728.40
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2019-06-01,560.70,480,1495.20,747.60,7289.10
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2019-10-01,1121.40,387,560.70,747.60,8410.50
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2019-12-01,373.80,855,1121.40,747.60,8784.30
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2020-01-01,1308.30,388,373.80,747.60,10092.60
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2020-02-01,373.80,743,1308.30,747.60,10466.40
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2020-07-01,1121.40,128,373.80,747.60,11587.80
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2020-09-01,1308.30,95,1121.40,747.60,12896.10
A. Datum Bridge Digital Camera M300 Green,Cameras and camcorders,2020-12-01,560.70,248,1308.30,747.60,13456.80
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2016-05-01,560.70,188,,560.70,560.70
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2016-08-01,747.60,171,560.70,560.70,1308.30
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2016-12-01,373.80,435,747.60,560.70,1682.10
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2017-10-01,747.60,215,373.80,560.70,2429.70
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2017-11-01,1308.30,140,747.60,560.70,3738.00
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2018-02-01,373.80,488,1308.30,560.70,4111.80
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2018-07-01,373.80,413,373.80,560.70,4485.60
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2019-01-01,934.50,457,373.80,560.70,5420.10
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2019-03-01,373.80,374,934.50,560.70,5793.90
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2019-09-01,1308.30,321,373.80,560.70,7102.20
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2019-11-01,1308.30,314,1308.30,560.70,8410.50
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2019-12-01,934.50,565,1308.30,560.70,9345.00
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2020-01-01,1121.40,436,934.50,560.70,10466.40
A. Datum Bridge Digital Camera M300 Grey,Cameras and camcorders,2020-08-01,186.90,263,1121.40,560.70,10653.30
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2016-02-01,934.50,210,,934.50,934.50
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2017-01-01,1869.00,96,934.50,934.50,2803.50
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2018-02-01,560.70,418,1869.00,934.50,3364.20
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2018-09-01,186.90,585,560.70,934.50,3551.10
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2018-12-01,560.70,636,186.90,934.50,4111.80
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2019-01-01,373.80,708,560.70,934.50,4485.60
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2019-03-01,1121.40,202,373.80,934.50,5607.00
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2019-08-01,186.90,741,1121.40,934.50,5793.90
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2019-09-01,747.60,470,186.90,934.50,6541.50
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2019-11-01,1308.30,314,747.60,934.50,7849.80
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2019-12-01,3551.10,188,1308.30,934.50,11400.90
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2020-01-01,186.90,890,3551.10,934.50,11587.80
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2020-03-01,2242.80,80,186.90,934.50,13830.60
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2020-12-01,186.90,381,2242.80,934.50,14017.50
A. Datum Bridge Digital Camera M300 Orange,Cameras and camcorders,2021-02-01,1121.40,136,186.90,934.50,15138.90
A. Datum Bridge Digital Camera M300 Pink,Cameras and camcorders,2016-01-01,373.80,289,,373.80,373.80
A. Datum Bridge Digital Camera M300 Pink,Cameras and camcorders,2016-12-01,186.90,553,373.80,373.80,560.70
A. Datum Bridge Digital Camera M300 Pink,Cameras and camcorders,2018-01-01,560.70,342,186.90,373.80,1121.40
